Median_Income,Median_Age,Tot_Rooms,Latitude,Distance_to_coast
0.07933683673328651,0.5686274509803921,-0.9553385217966326,0.13496280552603634,-0.9452034616321262
0.07605412339140138,-0.21568627450980393,-0.6389948624039881,0.1307120085015936,-0.9394333781395945
-0.06794389042909754,1.0,-0.9254794241823083,0.1285866099893731,-0.9512208651256662
-0.2906028882360244,1.0,-0.9352968106210896,0.1285866099893731,-0.954163760343201
-0.5384477455483372,1.0,-0.917340658222697,0.1285866099893731,-0.954163760343201
-0.5121584529868553,1.0,-0.9533546975939773,0.1285866099893731,-0.954163760343201
-0.5642542861477773,1.0,-0.8711531614019025,0.1264612114771524,-0.9597083216404128
-0.6386118812154316,1.0,-0.8422096749580344,0.1264612114771524,-0.9597083216404128
-0.7820030068550778,0.607843137254902,-0.870135815656951,0.1264612114771524,-0.9625797378336338
-0.559826761010193,1.0,-0.8195737321328653,0.1264612114771524,-0.9597083216404128
-0.6271499703452366,1.0,-0.8880919680553436,0.1285866099893731,-0.9566719160640696
-0.6178535468476296,1.0,-0.8219136273462536,0.1285866099893731,-0.9566719160640696
-0.6448186921559702,1.0,-0.8733913220407956,0.1285866099893731,-0.9566719160640696
-0.7001834457455759,1.0,-0.9646981026501856,0.1264612114771524,-0.9625797378336338
-0.8045820057654377,1.0,-0.8656594943791648,0.1285866099893731,-0.9566719160640696
-0.7758513675673439,0.9215686274509804,-0.9431303728572156,0.1285866099893731,-0.9566719160640696
-0.6861974317595619,1.0,-0.9000966478457704,0.1285866099893731,-0.9586674782591957
-0.7765134274010014,1.0,-0.9376367058344779,0.1285866099893731,-0.9586674782591957
-0.794320078343747,0.9215686274509804,-0.8862098784271835,0.1264612114771524,-0.9625797378336338
-0.7098798637260175,1.0,-0.9236482018413958,0.1264612114771524,-0.9649032531523929
-0.881670597646929,0.5294117647058822,-0.9619004018515692,0.1285866099893731,-0.9586674782591957
-0.8326092053902705,0.607843137254902,-0.9167302507757261,0.1285866099893731,-0.9586674782591957
